Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Azerbaijan,AZE,"Population ages 70-74, female",SP.POP.7074.FE,118279,125981
Azerbaijan,AZE,"Population ages 70-74, male",SP.POP.7074.MA,87901,93921
Azerbaijan,AZE,"Population ages 75-79, female",SP.POP.7579.FE,50381,57413
Azerbaijan,AZE,"Population ages 75-79, male",SP.POP.7579.MA,30363,35711
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6,5.9
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,19.4,18.6
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.125,74.429
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,3989,4155
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,6363,6684
"Bahamas, The",BHS,"Population ages 65-69, male",SP.POP.6569.MA,6368,6625
"Bahamas, The",BHS,"Population ages 65-69, female",SP.POP.6569.FE,7703,8018
"Bahamas, The",BHS,"Population ages 70-74, female",SP.POP.7074.FE,6263,6280
"Bahamas, The",BHS,"Population ages 70-74, male",SP.POP.7074.MA,4706,4736
"Bahamas, The",BHS,"Population ages 75-79, female",SP.POP.7579.FE,5388,5502
"Bahamas, The",BHS,"Population ages 75-79, male",SP.POP.7579.MA,3952,3927
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.558,8.713
"Bahamas, The",BHS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,12.9,12.7
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.491,74.552
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,4071,4436
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4259,4636
Bahrain,BHR,"Population ages 65-69, male",SP.POP.6569.MA,13695,14696
Bahrain,BHR,"Population ages 65-69, female",SP.POP.6569.FE,11144,12318
Bahrain,BHR,"Population ages 70-74, female",SP.POP.7074.FE,5833,6232
Bahrain,BHR,"Population ages 70-74, male",SP.POP.7074.MA,6309,6824
Bahrain,BHR,"Population ages 75-79, female",SP.POP.7579.FE,3908,4017
Bahrain,BHR,"Population ages 75-79, male",SP.POP.7579.MA,4130,4213
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.094,2.089
Bahrain,BHR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,8.4,8.6
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.992,81.284
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,710345,766154
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,935747,1004294
Bangladesh,BGD,"Population ages 65-69, male",SP.POP.6569.MA,2064368,2134599
Bangladesh,BGD,"Population ages 65-69, female",SP.POP.6569.FE,1933679,1965468
Bangladesh,BGD,"Population ages 70-74, female",SP.POP.7074.FE,1462109,1531418
Bangladesh,BGD,"Population ages 70-74, male",SP.POP.7074.MA,1368531,1441622
Bangladesh,BGD,"Population ages 75-79, female",SP.POP.7579.FE,1004247,1045398
Bangladesh,BGD,"Population ages 75-79, male",SP.POP.7579.MA,913003,948699
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.037,5.01
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,30.7,30.6
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.265,74.672
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,2946,2893
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5199,5268
Barbados,BRB,"Population ages 65-69, male",SP.POP.6569.MA,7243,7406
Barbados,BRB,"Population ages 65-69, female",SP.POP.6569.FE,8846,9082
Barbados,BRB,"Population ages 70-74, female",SP.POP.7074.FE,6684,6910
Barbados,BRB,"Population ages 70-74, male",SP.POP.7074.MA,5255,5391
Barbados,BRB,"Population ages 75-79, female",SP.POP.7579.FE,4698,4885
Barbados,BRB,"Population ages 75-79, male",SP.POP.7579.MA,3448,3602
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.097,10.613
Barbados,BRB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,10.4,10
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.676,76.178
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,80406,76635
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,267191,255129
Belarus,BLR,"Population ages 65-69, male",SP.POP.6569.MA,214948,225361
Belarus,BLR,"Population ages 65-69, female",SP.POP.6569.FE,332180,344321
Belarus,BLR,"Population ages 70-74, female",SP.POP.7074.FE,272580,279961
Belarus,BLR,"Population ages 70-74, male",SP.POP.7074.MA,149194,153185
Belarus,BLR,"Population ages 75-79, female",SP.POP.7579.FE,142907,158907
Belarus,BLR,"Population ages 75-79, male",SP.POP.7579.MA,63852,72501
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.246,13.338
Belarus,BLR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2.6,2.4
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1033658536585,74.1837804878049
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,243654,248498
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405992,410501
Belgium,BEL,"Population ages 65-69, male",SP.POP.6569.MA,318047,327829
Belgium,BEL,"Population ages 65-69, female",SP.POP.6569.FE,338142,347486
Belgium,BEL,"Population ages 70-74, female",SP.POP.7074.FE,298121,302213
Belgium,BEL,"Population ages 70-74, male",SP.POP.7074.MA,266860,271172
Belgium,BEL,"Population ages 75-79, female",SP.POP.7579.FE,240172,254876
Belgium,BEL,"Population ages 75-79, male",SP.POP.7579.MA,197862,210527
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10,9.4
Belgium,BEL,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.7,3.6
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.7487804878049,82.3975609756098
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1378,1396
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1531,1564
Belize,BLZ,"Population ages 65-69, male",SP.POP.6569.MA,3855,4045
Belize,BLZ,"Population ages 65-69, female",SP.POP.6569.FE,4000,4243
Belize,BLZ,"Population ages 70-74, female",SP.POP.7074.FE,2675,2839
Belize,BLZ,"Population ages 70-74, male",SP.POP.7074.MA,2507,2638
Belize,BLZ,"Population ages 75-79, female",SP.POP.7579.FE,1548,1647
Belize,BLZ,"Population ages 75-79, male",SP.POP.7579.MA,1468,1534
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.409,4.925
Belize,BLZ,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,12.8,12.7
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19,73.566
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,20985,21833
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32546,33783
Benin,BEN,"Population ages 65-69, male",SP.POP.6569.MA,81456,84819
Benin,BEN,"Population ages 65-69, female",SP.POP.6569.FE,92924,96642
Benin,BEN,"Population ages 70-74, female",SP.POP.7074.FE,64079,65899
Benin,BEN,"Population ages 70-74, male",SP.POP.7074.MA,54353,55979
Benin,BEN,"Population ages 75-79, female",SP.POP.7579.FE,43579,43980
Benin,BEN,"Population ages 75-79, male",SP.POP.7579.MA,31467,32796
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.948,8.797
Benin,BEN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,80.4,77.9
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.475,60.774
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,1079,1115
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,1966,2051
Bermuda,BMU,"Population ages 65-69, male",SP.POP.6569.MA,1978,2033
Bermuda,BMU,"Population ages 65-69, female",SP.POP.6569.FE,2274,2368
Bermuda,BMU,"Population ages 70-74, female",SP.POP.7074.FE,1801,1840
Bermuda,BMU,"Population ages 70-74, male",SP.POP.7074.MA,1494,1560
Bermuda,BMU,"Population ages 75-79, female",SP.POP.7579.FE,1403,1477
Bermuda,BMU,"Population ages 75-79, male",SP.POP.7579.MA,1048,1085
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.772,8.858
Bermuda,BMU,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.062,82.309
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3919,3900
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4387,4440
Bhutan,BTN,"Population ages 65-69, male",SP.POP.6569.MA,9621,9915
Bhutan,BTN,"Population ages 65-69, female",SP.POP.6569.FE,9329,9666
Bhutan,BTN,"Population ages 70-74, female",SP.POP.7074.FE,6311,6621
Bhutan,BTN,"Population ages 70-74, male",SP.POP.7074.MA,6535,6784
Bhutan,BTN,"Population ages 75-79, female",SP.POP.7579.FE,4396,4447
Bhutan,BTN,"Population ages 75-79, male",SP.POP.7579.MA,4275,4309
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.143,6.11
Bhutan,BTN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,23.9,23.1
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.754,72.975
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,44307,45228
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,70129,71541
Bolivia,BOL,"Population ages 65-69, male",SP.POP.6569.MA,116858,121058
Bolivia,BOL,"Population ages 65-69, female",SP.POP.6569.FE,131497,136248
Bolivia,BOL,"Population ages 70-74, female",SP.POP.7074.FE,96043,98058
Bolivia,BOL,"Population ages 70-74, male",SP.POP.7074.MA,79792,81589
Bolivia,BOL,"Population ages 75-79, female",SP.POP.7579.FE,69805,71340
Bolivia,BOL,"Population ages 75-79, male",SP.POP.7579.MA,53286,54546
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.681,7.172
Bolivia,BOL,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,23.9,23.1
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.434,68.581
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,43671,42797
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,123660,123550
Bosnia and Herzegovina,BIH,"Population ages 65-69, male",SP.POP.6569.MA,101446,102523
Bosnia and Herzegovina,BIH,"Population ages 65-69, female",SP.POP.6569.FE,127880,128421
Bosnia and Herzegovina,BIH,"Population ages 70-74, female",SP.POP.7074.FE,102014,106099
Bosnia and Herzegovina,BIH,"Population ages 70-74, male",SP.POP.7074.MA,71926,75169
Bosnia and Herzegovina,BIH,"Population ages 75-79, female",SP.POP.7579.FE,66598,69544
Bosnia and Herzegovina,BIH,"Population ages 75-79, male",SP.POP.7579.MA,39124,41225
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.05,13.457
Bosnia and Herzegovina,BIH,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,6.2,6
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.777,77.85
